"material";"cost";"date_import";"created_at";"updated_at"
"BUFBL10012S1AUG027";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG032";"88.73";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG059";"124.16";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG060";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1CUG001";"55.53";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1CUG002";"56.96";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1XUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1XUG003";"53.81";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUD001";"194.39";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUG001";"192.9";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUG002";"21";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUG003";"149.32";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUG004";"149.63";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S3CUG005";"146.04";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5AUG001";"83.03";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5AUG002";"54.98";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5AUG006";"57.54";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5AUG014";"52.95";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5CUG002";"53.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5CUG003";"55.85";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S5CUG004";"52.43";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S6AUG003";"70.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S6CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S6CUG002";"56.31";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S6CUG003";"58.51";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S7CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S7CUG003";"75.57";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S9AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S9AUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S9CUG001";"110";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S9CUG003";"59.22";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S9CUG004";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S1AUG027";"110.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S1CUG001";"113.21";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S1CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S3CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S5AUG001";"110.62";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S5CUG001";"117.91";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S5CUG002";"113.53";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S5CUG003";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S5XUG003";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S6CUG001";"109.16";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S6CUG002";"109.23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10024S6XUG004";"111.68";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10036S6CUG001";"173.51";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20001S7CUD001";"20.87";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20001S7CUD002";"14.68";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20006S7CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20012S1CUG001";"53.95";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20012S6AUG003";"70.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20012S7CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL20024S1AUG007";"121.99";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL30006S7CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10001S7CUD001";"20.89";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10001S7CUD002";"14.41";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10004S1CUG001";"23.32";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10004S7CBX001";"43.68";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10006S7AUG001";"70.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10006S7CUG001";"55.04";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10006S7CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10008S1CUG001";"38.73";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10008S1CUG002";"37.85";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10008S1XUG001";"233.52";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10010S1AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012M2CUG001";"222.36";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG001";"53.98";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG004";"96.63";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG016";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG017";"62.18";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG027";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1AUG068";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1CUG001";"55.56";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S1CUG002";"56.98";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S3CUD001";"194.5";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S3CUG001";"149.35";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S3CUG002";"21";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S3CUG003";"149.67";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S3CUG004";"143.3";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5AUG001";"122.66";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5AUG002";"55";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5AUG014";"52.96";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5CUG001";"52.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5CUG002";"57.32";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5CUG003";"60.36";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S5CUG004";"54.32";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S6AUG003";"70.7";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S6CUG001";"58.52";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S7CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S7CUG003";"75.67";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S9AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S9AUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S9CUG003";"59.23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10012S9CUG004";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S1CUG001";"113.25";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S3CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S5AUG001";"110.64";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S5CUG001";"115.74";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S5CUG003";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S5CUG004";"117.98";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S5XUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S6CUG001";"109.95";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S6CUG002";"109.25";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10024S6XUG003";"111.62";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR10036S6CUG001";"173.53";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR20001S7CUD001";"20.89";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR20001S7CUD002";"14.71";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR20006S7CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR20012S7CUG002";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBR30006S7CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001M2CUD001";"127.13";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001M2CUD002";"129.47";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001S1CUG001";"128.23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001S5CUG002";"102.46";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001S7CUD001";"20.89";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001S7CUD002";"70.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10001S7CUD003";"14.38";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10004S1CUG001";"23.31";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10004S5CUG001";"25.57";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10004S7CBX001";"43.67";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10006M2CUG001";"70.8";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10006S7AUG001";"70.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10006S7CUG001";"55.05";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10006S7CUG002";"3.17";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10008S1CUG001";"40.08";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10008S1CUG002";"37.85";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10010S1AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10010S1CUG001";"48.47";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012M2CUG001";"222.27";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012M2CUG002";"199.42";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG001";"53.96";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG004";"54.9";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG016";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG017";"62.19";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG027";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG032";"88.76";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1AUG068";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1CUG001";"60.05";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1CUG002";"65.29";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1CUG003";"56.99";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1CUG004";"57.43";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S1XUG023";"57.83";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S3CUG001";"147.23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S3CUG002";"21";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFGR10012S3CUG003";"149.82";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
